Risk ID,Supplier ID,Risk Type (Shortage / Delay / Shutdown),Severity Level (High/Medium/Low),Probability of Occurrence,Date of Risk Event,Affected Component ID,Expected Recovery Time
RISK03874,SUPP008,Shutdown,Low,0.94,2023-08-12,COMP0383,11 days
RISK03875,SUPP030,Delay,High,0.02,2025-05-18,COMP0248,14 days
RISK03876,SUPP092,Shutdown,High,0.27,2023-07-04,COMP0286,25 days
RISK03877,SUPP016,Delay,High,0.16,2020-05-08,COMP0396,87 days
RISK03878,SUPP081,Delay,Medium,0.47,2021-10-23,COMP0222,93 days
RISK03879,SUPP055,Delay,Medium,0.7,2023-08-27,COMP0125,112 days
RISK03880,SUPP089,Shutdown,Low,0.35,2023-09-24,COMP0233,123 days
RISK03881,SUPP006,Delay,Low,0.92,2021-09-13,COMP0147,120 days
RISK03882,SUPP018,Shutdown,Medium,0.69,2023-05-31,COMP0496,14 days
RISK03883,SUPP002,Delay,Low,0.22,2020-09-27,COMP0120,145 days
RISK03884,SUPP064,Shortage,Low,0.56,2021-11-18,COMP0416,81 days
RISK03885,SUPP039,Shortage,Medium,0.39,2023-03-04,COMP0284,133 days
RISK03886,SUPP006,Delay,High,0.28,2025-12-19,COMP0479,167 days
RISK03887,SUPP094,Delay,Low,0.53,2023-01-27,COMP0295,123 days
RISK03888,SUPP004,Delay,High,0.91,2023-01-02,COMP0425,5 days
RISK03889,SUPP061,Shortage,High,0.14,2021-09-03,COMP0195,162 days
RISK03890,SUPP052,Shutdown,Low,0.74,2022-07-17,COMP0242,70 days
RISK03891,SUPP017,Delay,High,0.28,2020-12-31,COMP0158,172 days
RISK03892,SUPP035,Shutdown,Medium,0.7,2024-02-14,COMP0225,126 days
RISK03893,SUPP037,Shortage,Medium,0.44,2021-06-15,COMP0307,173 days
RISK03894,SUPP050,Shortage,Medium,0.86,2023-09-10,COMP0129,30 days
RISK03895,SUPP004,Delay,High,0.83,2020-10-02,COMP0426,141 days
RISK03896,SUPP008,Delay,Medium,0.47,2021-07-21,COMP0188,55 days
RISK03897,SUPP078,Shortage,High,0.73,2024-09-11,COMP0463,66 days
RISK03898,SUPP051,Delay,Medium,0.18,2020-07-21,COMP0266,40 days
RISK03899,SUPP060,Shortage,High,0.86,2023-10-24,COMP0153,152 days
RISK03900,SUPP031,Shortage,Medium,0.21,2021-08-09,COMP0133,178 days
RISK03901,SUPP090,Shortage,Medium,0.88,2023-05-06,COMP0258,45 days
RISK03902,SUPP067,Delay,Medium,0.32,2024-11-13,COMP0312,2 days
RISK03903,SUPP020,Delay,Low,0.82,2021-04-17,COMP0184,132 days
RISK03904,SUPP082,Delay,Low,0.78,2020-07-21,COMP0312,13 days
RISK03905,SUPP062,Shortage,Medium,0.47,2022-03-28,COMP0103,34 days
RISK03906,SUPP068,Delay,Medium,0.35,2021-09-20,COMP0384,112 days
RISK03907,SUPP011,Shortage,High,0.35,2020-11-24,COMP0153,79 days
RISK03908,SUPP002,Delay,Medium,0.59,2022-06-05,COMP0075,19 days
RISK03909,SUPP045,Shortage,Medium,0.49,2023-11-27,COMP0307,130 days
RISK03910,SUPP024,Delay,Low,0.02,2020-08-10,COMP0169,121 days
RISK03911,SUPP043,Shortage,Medium,0.63,2025-04-25,COMP0317,172 days
RISK03912,SUPP013,Delay,Low,0.83,2022-05-20,COMP0063,124 days
RISK03913,SUPP089,Shortage,Low,0.14,2020-05-05,COMP0074,92 days
RISK03914,SUPP033,Delay,Medium,0.4,2020-07-24,COMP0049,143 days
RISK03915,SUPP098,Delay,Low,0.87,2021-07-18,COMP0106,5 days
RISK03916,SUPP032,Shortage,High,0.27,2022-07-20,COMP0489,110 days
RISK03917,SUPP085,Shutdown,High,0.32,2024-08-23,COMP0371,32 days
RISK03918,SUPP024,Delay,Low,0.9,2023-06-15,COMP0479,124 days
RISK03919,SUPP020,Shortage,Medium,0.52,2024-08-28,COMP0277,18 days
RISK03920,SUPP075,Shutdown,Medium,0.05,2024-09-25,COMP0397,98 days
RISK03921,SUPP040,Shortage,Medium,0.92,2022-08-20,COMP0326,52 days
RISK03922,SUPP065,Shortage,Medium,0.69,2025-12-18,COMP0235,168 days
RISK03923,SUPP069,Shutdown,Medium,0.72,2024-07-24,COMP0211,40 days
RISK03924,SUPP004,Shortage,High,0.66,2023-10-11,COMP0121,158 days
RISK03925,SUPP079,Shortage,Low,0.33,2025-06-06,COMP0397,158 days
RISK03926,SUPP020,Shortage,High,0.4,2024-11-15,COMP0399,157 days
RISK03927,SUPP025,Shortage,High,0.8,2023-11-08,COMP0254,162 days
RISK03928,SUPP015,Shutdown,Medium,0.94,2023-08-18,COMP0173,80 days
RISK03929,SUPP011,Shortage,High,0.39,2022-07-28,COMP0231,68 days
RISK03930,SUPP026,Delay,Medium,0.86,2025-06-03,COMP0480,100 days
RISK03931,SUPP089,Delay,Medium,0.77,2021-05-21,COMP0387,12 days
RISK03932,SUPP032,Shortage,Medium,0.57,2024-08-13,COMP0394,44 days
RISK03933,SUPP040,Delay,Low,0.19,2023-11-26,COMP0413,82 days
RISK03934,SUPP087,Shutdown,Medium,0.54,2020-12-03,COMP0445,58 days
RISK03935,SUPP080,Shortage,Medium,0.68,2021-02-21,COMP0331,133 days
RISK03936,SUPP016,Shutdown,High,0.7,2021-02-08,COMP0335,27 days
RISK03937,SUPP045,Shortage,Low,0.18,2021-12-15,COMP0278,72 days
RISK03938,SUPP086,Delay,High,0.58,2025-05-27,COMP0405,180 days
RISK03939,SUPP002,Shortage,High,0.67,2025-01-14,COMP0098,38 days
RISK03940,SUPP091,Delay,Medium,0.11,2025-07-11,COMP0368,169 days
RISK03941,SUPP005,Delay,Low,0.46,2025-07-10,COMP0424,87 days
RISK03942,SUPP075,Shortage,High,0.39,2021-05-06,COMP0248,108 days
RISK03943,SUPP003,Delay,High,0.58,2022-06-05,COMP0499,30 days
RISK03944,SUPP022,Shortage,Medium,0.62,2021-04-05,COMP0114,118 days
RISK03945,SUPP017,Delay,Medium,0.24,2021-06-08,COMP0118,180 days
RISK03946,SUPP010,Delay,Low,0.59,2023-04-29,COMP0052,87 days
RISK03947,SUPP056,Shortage,Low,0.53,2024-09-01,COMP0085,112 days
RISK03948,SUPP084,Delay,Low,0.9,2024-12-30,COMP0244,89 days
RISK03949,SUPP076,Shutdown,Medium,0.05,2024-03-04,COMP0012,121 days
RISK03950,SUPP029,Shortage,High,0.45,2024-05-26,COMP0466,172 days
RISK03951,SUPP045,Delay,Medium,0.38,2023-11-03,COMP0210,50 days
RISK03952,SUPP093,Shortage,High,0.67,2022-09-30,COMP0211,137 days
RISK03953,SUPP031,Shortage,Medium,0.5,2025-01-14,COMP0254,26 days
RISK03954,SUPP081,Shutdown,High,0.64,2021-11-29,COMP0223,9 days
RISK03955,SUPP096,Shutdown,Medium,0.77,2023-09-05,COMP0277,15 days
RISK03956,SUPP092,Delay,Medium,0.26,2024-10-19,COMP0085,42 days
RISK03957,SUPP009,Delay,High,0.67,2022-07-01,COMP0087,150 days
RISK03958,SUPP081,Shortage,Medium,0.49,2024-05-29,COMP0241,166 days
RISK03959,SUPP030,Delay,Medium,0.21,2022-08-11,COMP0061,176 days
RISK03960,SUPP032,Shutdown,Medium,0.35,2025-04-04,COMP0454,123 days
RISK03961,SUPP038,Delay,Low,0.48,2021-12-18,COMP0136,9 days
RISK03962,SUPP054,Shortage,Medium,0.6,2024-11-01,COMP0448,98 days
RISK03963,SUPP026,Delay,Medium,0.82,2021-12-10,COMP0316,21 days
RISK03964,SUPP084,Delay,High,0.91,2022-05-09,COMP0328,79 days
RISK03965,SUPP097,Delay,High,0.38,2021-12-26,COMP0248,102 days
RISK03966,SUPP056,Shortage,Medium,0.63,2020-04-30,COMP0459,29 days
RISK03967,SUPP067,Delay,Low,0.37,2023-05-07,COMP0074,123 days
RISK03968,SUPP030,Delay,High,0.6,2022-01-17,COMP0480,167 days
RISK03969,SUPP033,Shortage,Low,0.1,2024-01-06,COMP0441,117 days
RISK03970,SUPP063,Shutdown,Medium,0.83,2023-07-01,COMP0125,84 days
RISK03971,SUPP038,Delay,Medium,0.66,2025-09-29,COMP0279,92 days
RISK03972,SUPP093,Shortage,Medium,0.38,2020-03-31,COMP0341,148 days
RISK03973,SUPP033,Shortage,Medium,0.93,2022-07-13,COMP0499,74 days
RISK03974,SUPP025,Shortage,Medium,0.56,2024-02-27,COMP0364,9 days
RISK03975,SUPP010,Shortage,Medium,0.1,2020-03-19,COMP0145,40 days
RISK03976,SUPP055,Shortage,Low,0.39,2022-03-26,COMP0152,141 days
RISK03977,SUPP089,Shutdown,High,0.28,2024-07-05,COMP0480,120 days
RISK03978,SUPP009,Shortage,Medium,0.18,2023-06-22,COMP0099,99 days
RISK03979,SUPP006,Delay,High,0.22,2024-04-18,COMP0266,5 days
RISK03980,SUPP065,Shortage,High,0.94,2021-02-01,COMP0290,10 days
RISK03981,SUPP069,Delay,Low,0.4,2023-05-02,COMP0132,166 days
RISK03982,SUPP068,Shortage,Medium,0.87,2020-03-12,COMP0277,138 days
RISK03983,SUPP029,Shutdown,High,0.45,2021-03-30,COMP0498,135 days
RISK03984,SUPP092,Shortage,Low,0.78,2024-11-16,COMP0149,175 days
RISK03985,SUPP007,Shortage,Medium,0.35,2022-01-19,COMP0319,72 days
RISK03986,SUPP088,Delay,High,0.54,2022-04-08,COMP0077,65 days
RISK03987,SUPP019,Delay,High,0.02,2020-01-05,COMP0415,42 days
RISK03988,SUPP058,Delay,Medium,0.79,2023-04-03,COMP0054,96 days
RISK03989,SUPP006,Delay,Medium,0.28,2020-01-28,COMP0266,65 days
RISK03990,SUPP096,Delay,Medium,0.52,2021-03-22,COMP0472,96 days
RISK03991,SUPP070,Delay,Low,0.93,2020-04-28,COMP0313,123 days
RISK03992,SUPP023,Shortage,Low,0.35,2022-07-22,COMP0066,85 days
RISK03993,SUPP052,Delay,Medium,0.16,2020-04-28,COMP0244,110 days
RISK03994,SUPP003,Delay,Medium,0.78,2021-06-11,COMP0496,148 days
RISK03995,SUPP083,Shortage,Medium,0.82,2022-10-24,COMP0327,21 days
RISK03996,SUPP027,Delay,High,0.17,2023-04-28,COMP0319,136 days
RISK03997,SUPP098,Delay,Medium,0.46,2023-12-15,COMP0117,26 days
RISK03998,SUPP083,Delay,Medium,0.55,2024-11-15,COMP0382,97 days
RISK03999,SUPP059,Delay,High,0.78,2025-03-28,COMP0010,115 days
RISK04000,SUPP031,Shortage,Medium,0.47,2025-07-21,COMP0417,142 days
RISK04001,SUPP023,Shutdown,Low,0.83,2024-11-14,COMP0010,131 days
RISK04002,SUPP043,Shutdown,Medium,0.88,2022-08-29,COMP0470,165 days
RISK04003,SUPP074,Shutdown,High,0.92,2023-01-08,COMP0349,155 days
RISK04004,SUPP085,Shortage,Low,0.09,2023-01-26,COMP0316,179 days
RISK04005,SUPP076,Shortage,High,0.28,2024-10-28,COMP0366,68 days
RISK04006,SUPP035,Shortage,Medium,0.93,2022-07-14,COMP0125,107 days
RISK04007,SUPP029,Shortage,Medium,0.8,2020-08-26,COMP0141,40 days
RISK04008,SUPP040,Shortage,Medium,0.67,2022-05-17,COMP0444,42 days
RISK04009,SUPP086,Shortage,Medium,0.41,2025-10-28,COMP0429,88 days
RISK04010,SUPP007,Delay,Medium,0.41,2020-04-02,COMP0007,45 days
RISK04011,SUPP003,Delay,Medium,0.8,2025-06-01,COMP0311,29 days
RISK04012,SUPP064,Shortage,High,0.61,2021-01-05,COMP0448,173 days
RISK04013,SUPP033,Delay,Medium,0.78,2025-06-15,COMP0065,162 days
RISK04014,SUPP048,Shutdown,Medium,0.73,2025-12-02,COMP0320,4 days
RISK04015,SUPP030,Delay,Low,0.4,2024-10-20,COMP0137,122 days
RISK04016,SUPP084,Shutdown,Medium,0.47,2023-02-18,COMP0085,152 days
RISK04017,SUPP075,Delay,Low,0.35,2023-08-17,COMP0044,107 days
RISK04018,SUPP004,Shortage,High,0.85,2022-09-26,COMP0396,114 days
RISK04019,SUPP096,Delay,Medium,0.64,2020-12-03,COMP0232,61 days
RISK04020,SUPP047,Delay,Low,0.03,2021-07-05,COMP0073,103 days
RISK04021,SUPP057,Delay,Medium,0.78,2020-02-08,COMP0436,32 days
RISK04022,SUPP055,Shortage,Medium,0.27,2022-06-28,COMP0149,14 days
RISK04023,SUPP028,Shutdown,High,0.37,2025-01-27,COMP0481,70 days
RISK04024,SUPP084,Delay,Medium,0.31,2020-07-21,COMP0411,97 days
RISK04025,SUPP023,Shortage,Low,0.67,2025-07-21,COMP0370,126 days
RISK04026,SUPP068,Shortage,Low,0.08,2023-12-20,COMP0308,129 days
RISK04027,SUPP094,Shortage,Medium,0.24,2023-06-29,COMP0316,106 days
RISK04028,SUPP083,Delay,High,0.49,2024-03-21,COMP0302,71 days
RISK04029,SUPP021,Shortage,High,0.02,2022-08-20,COMP0340,174 days
RISK04030,SUPP076,Delay,Medium,0.75,2024-11-15,COMP0277,87 days
RISK04031,SUPP062,Delay,Medium,0.73,2024-01-04,COMP0184,27 days
RISK04032,SUPP091,Delay,Medium,0.59,2020-01-31,COMP0116,101 days
RISK04033,SUPP021,Shortage,High,0.65,2024-06-18,COMP0062,39 days
RISK04034,SUPP058,Delay,Medium,0.66,2024-07-30,COMP0136,115 days
RISK04035,SUPP044,Delay,Medium,0.26,2021-07-12,COMP0150,174 days
RISK04036,SUPP092,Shortage,High,0.08,2024-04-28,COMP0365,82 days
RISK04037,SUPP007,Shortage,High,0.54,2025-09-07,COMP0389,149 days
RISK04038,SUPP076,Shortage,Medium,0.4,2021-12-27,COMP0428,50 days
RISK04039,SUPP050,Shutdown,Low,0.64,2024-12-27,COMP0011,118 days
RISK04040,SUPP099,Shortage,Medium,0.73,2020-01-20,COMP0255,56 days
RISK04041,SUPP002,Shutdown,Low,0.65,2022-02-20,COMP0028,122 days
RISK04042,SUPP068,Shortage,Medium,0.74,2020-09-30,COMP0161,19 days
RISK04043,SUPP062,Shortage,Medium,0.11,2023-08-09,COMP0289,34 days
RISK04044,SUPP071,Delay,Medium,0.7,2022-12-27,COMP0246,71 days
RISK04045,SUPP044,Shortage,Medium,0.07,2023-04-12,COMP0162,78 days
RISK04046,SUPP095,Shutdown,Low,0.13,2025-12-20,COMP0237,78 days
RISK04047,SUPP008,Shortage,Medium,0.45,2021-09-30,COMP0030,23 days
RISK04048,SUPP039,Delay,Medium,0.08,2020-03-26,COMP0199,129 days
RISK04049,SUPP057,Shortage,Medium,0.57,2025-11-12,COMP0344,126 days
RISK04050,SUPP099,Shortage,Low,0.34,2024-05-06,COMP0179,89 days
RISK04051,SUPP023,Shutdown,Low,0.94,2025-12-21,COMP0079,39 days
RISK04052,SUPP077,Shortage,High,0.83,2023-07-21,COMP0395,47 days
RISK04053,SUPP013,Shortage,High,0.47,2021-12-29,COMP0168,2 days
RISK04054,SUPP065,Shutdown,Medium,0.26,2022-06-15,COMP0078,70 days
RISK04055,SUPP024,Shortage,Medium,0.64,2024-03-06,COMP0469,159 days
RISK04056,SUPP050,Delay,High,0.9,2021-04-23,COMP0500,43 days
RISK04057,SUPP008,Delay,Medium,0.53,2023-09-16,COMP0139,109 days
RISK04058,SUPP027,Shortage,Medium,0.14,2023-03-13,COMP0427,140 days
RISK04059,SUPP054,Delay,Medium,0.03,2021-09-30,COMP0312,121 days
RISK04060,SUPP027,Shortage,High,0.08,2020-06-19,COMP0400,69 days
RISK04061,SUPP061,Shortage,Medium,0.24,2023-06-14,COMP0020,87 days
RISK04062,SUPP032,Shutdown,High,0.21,2020-09-28,COMP0347,95 days
RISK04063,SUPP077,Shutdown,Low,0.91,2024-11-28,COMP0442,93 days
RISK04064,SUPP011,Delay,High,0.88,2025-07-30,COMP0452,10 days
RISK04065,SUPP038,Shortage,High,0.33,2020-09-06,COMP0021,176 days
RISK04066,SUPP016,Delay,Low,0.66,2023-12-29,COMP0140,103 days
RISK04067,SUPP073,Shutdown,Medium,0.95,2021-11-17,COMP0120,69 days
RISK04068,SUPP070,Shortage,Medium,0.87,2021-04-27,COMP0262,172 days
RISK04069,SUPP055,Shortage,Low,0.29,2020-09-20,COMP0045,112 days
RISK04070,SUPP052,Delay,High,0.43,2024-07-23,COMP0239,164 days
RISK04071,SUPP009,Shortage,High,0.11,2022-08-05,COMP0012,61 days
RISK04072,SUPP093,Shortage,High,0.77,2021-03-15,COMP0324,157 days
RISK04073,SUPP044,Delay,Medium,0.69,2025-11-20,COMP0218,67 days
RISK04074,SUPP096,Shortage,High,0.33,2023-01-02,COMP0460,20 days
RISK04075,SUPP077,Shortage,Medium,0.45,2025-08-02,COMP0283,165 days
RISK04076,SUPP072,Shutdown,Low,0.82,2022-01-01,COMP0113,33 days
RISK04077,SUPP049,Shortage,Medium,0.42,2023-08-19,COMP0221,94 days
RISK04078,SUPP037,Shortage,Medium,0.13,2022-01-21,COMP0351,131 days
RISK04079,SUPP031,Delay,Medium,0.8,2021-03-22,COMP0247,98 days
RISK04080,SUPP069,Shortage,High,0.84,2024-04-21,COMP0366,45 days
RISK04081,SUPP018,Shortage,Medium,0.48,2023-02-18,COMP0079,179 days
RISK04082,SUPP094,Shortage,High,0.94,2022-07-24,COMP0099,8 days
RISK04083,SUPP086,Shortage,Medium,0.93,2020-02-22,COMP0042,150 days
RISK04084,SUPP052,Shortage,Medium,0.38,2020-08-21,COMP0042,95 days
RISK04085,SUPP072,Shortage,Low,0.43,2020-09-18,COMP0087,131 days
RISK04086,SUPP020,Delay,High,0.58,2020-02-01,COMP0290,171 days
RISK04087,SUPP025,Delay,Medium,0.59,2023-01-28,COMP0250,144 days
RISK04088,SUPP015,Shutdown,Medium,0.41,2023-03-13,COMP0387,140 days
RISK04089,SUPP021,Shortage,Medium,0.36,2022-02-21,COMP0472,68 days
RISK04090,SUPP001,Delay,Low,0.46,2025-01-09,COMP0121,94 days
RISK04091,SUPP015,Delay,Medium,0.74,2024-04-13,COMP0438,98 days
RISK04092,SUPP051,Delay,Medium,0.63,2025-12-12,COMP0155,89 days
RISK04093,SUPP021,Shortage,High,0.42,2021-02-11,COMP0109,159 days
RISK04094,SUPP019,Delay,Low,0.06,2025-05-03,COMP0044,116 days
RISK04095,SUPP008,Shortage,Low,0.39,2024-10-27,COMP0283,166 days
RISK04096,SUPP092,Shortage,Medium,0.04,2025-12-25,COMP0373,159 days
RISK04097,SUPP084,Shortage,Low,0.38,2023-02-13,COMP0024,27 days
RISK04098,SUPP079,Delay,Low,0.86,2022-03-31,COMP0238,166 days
RISK04099,SUPP009,Shutdown,High,0.94,2020-02-04,COMP0049,175 days
RISK04100,SUPP006,Delay,Medium,0.06,2024-07-06,COMP0455,177 days
RISK04101,SUPP099,Shutdown,Low,0.75,2021-12-30,COMP0163,169 days
RISK04102,SUPP024,Delay,Medium,0.24,2023-09-30,COMP0138,14 days
RISK04103,SUPP047,Shortage,Low,0.49,2025-10-02,COMP0077,23 days
RISK04104,SUPP027,Delay,Medium,0.56,2022-11-16,COMP0224,117 days
RISK04105,SUPP017,Shortage,High,0.24,2025-11-26,COMP0094,38 days
RISK04106,SUPP099,Shutdown,High,0.42,2025-05-28,COMP0109,21 days
RISK04107,SUPP046,Shortage,High,0.93,2024-11-18,COMP0267,42 days
RISK04108,SUPP066,Delay,High,0.39,2020-09-04,COMP0128,93 days
RISK04109,SUPP015,Delay,High,0.16,2025-10-21,COMP0482,60 days
RISK04110,SUPP029,Shortage,Medium,0.32,2023-08-09,COMP0412,165 days
RISK04111,SUPP096,Shutdown,Medium,0.17,2020-09-20,COMP0374,102 days
RISK04112,SUPP061,Shortage,High,0.11,2020-02-29,COMP0111,147 days
RISK04113,SUPP007,Delay,Medium,0.87,2020-02-02,COMP0213,145 days
RISK04114,SUPP008,Delay,Low,0.6,2022-11-24,COMP0368,155 days
RISK04115,SUPP072,Delay,Medium,0.53,2021-08-02,COMP0150,9 days
RISK04116,SUPP053,Shortage,Medium,0.73,2020-06-28,COMP0334,37 days
RISK04117,SUPP058,Shortage,Medium,0.52,2025-02-24,COMP0329,76 days
RISK04118,SUPP070,Delay,Medium,0.3,2021-06-11,COMP0378,131 days
RISK04119,SUPP010,Shutdown,High,0.78,2021-07-13,COMP0423,9 days
RISK04120,SUPP040,Delay,High,0.55,2023-01-21,COMP0256,160 days
RISK04121,SUPP031,Shortage,Medium,0.26,2022-08-11,COMP0222,100 days
RISK04122,SUPP043,Delay,Low,0.22,2024-04-30,COMP0257,124 days
RISK04123,SUPP041,Shortage,Medium,0.1,2025-08-24,COMP0338,11 days
RISK04124,SUPP069,Shortage,Medium,0.7,2021-03-17,COMP0405,88 days
RISK04125,SUPP074,Shortage,Medium,0.77,2022-07-17,COMP0403,165 days
RISK04126,SUPP047,Shutdown,Medium,0.57,2025-04-27,COMP0384,138 days
RISK04127,SUPP063,Shortage,Low,0.64,2023-08-14,COMP0075,119 days
RISK04128,SUPP016,Shortage,High,0.07,2021-08-19,COMP0200,35 days
RISK04129,SUPP015,Delay,Low,0.81,2021-10-13,COMP0195,78 days
RISK04130,SUPP023,Shortage,High,0.05,2021-09-09,COMP0088,49 days
RISK04131,SUPP074,Delay,High,0.47,2020-01-21,COMP0490,136 days
RISK04132,SUPP057,Delay,Low,0.16,2024-06-01,COMP0244,113 days
RISK04133,SUPP048,Shutdown,Low,0.29,2020-03-15,COMP0500,65 days
RISK04134,SUPP085,Delay,High,0.58,2023-01-25,COMP0340,64 days
RISK04135,SUPP008,Shutdown,Medium,0.52,2025-06-20,COMP0119,14 days
RISK04136,SUPP076,Delay,Low,0.88,2020-12-02,COMP0284,175 days
RISK04137,SUPP002,Shortage,High,0.91,2022-05-23,COMP0160,38 days
RISK04138,SUPP070,Shutdown,High,0.2,2020-06-06,COMP0184,117 days
RISK04139,SUPP061,Shutdown,High,0.85,2022-09-08,COMP0412,10 days
RISK04140,SUPP043,Shutdown,Medium,0.95,2023-03-29,COMP0161,6 days
RISK04141,SUPP047,Delay,Low,0.33,2023-03-22,COMP0044,169 days
RISK04142,SUPP068,Delay,High,0.87,2020-12-17,COMP0248,27 days
RISK04143,SUPP048,Shutdown,Low,0.3,2022-09-11,COMP0353,22 days
RISK04144,SUPP082,Shutdown,Medium,0.23,2022-03-05,COMP0477,101 days
RISK04145,SUPP050,Delay,Medium,0.48,2023-04-14,COMP0150,168 days
RISK04146,SUPP021,Shutdown,Low,0.26,2024-07-11,COMP0360,119 days
RISK04147,SUPP005,Shortage,Low,0.84,2024-10-04,COMP0496,91 days
RISK04148,SUPP019,Shortage,Medium,0.67,2020-11-06,COMP0015,35 days
RISK04149,SUPP086,Delay,Medium,0.26,2020-05-12,COMP0155,103 days
RISK04150,SUPP005,Delay,Medium,0.55,2020-10-26,COMP0389,132 days
RISK04151,SUPP082,Shortage,Low,0.08,2021-11-11,COMP0378,142 days
RISK04152,SUPP041,Delay,High,0.08,2021-10-12,COMP0114,141 days
RISK04153,SUPP052,Shortage,Low,0.75,2022-09-14,COMP0251,133 days
RISK04154,SUPP088,Delay,Medium,0.39,2022-05-21,COMP0072,177 days
RISK04155,SUPP076,Shortage,Low,0.4,2020-02-24,COMP0072,143 days
RISK04156,SUPP009,Shutdown,Low,0.32,2024-10-29,COMP0319,73 days
RISK04157,SUPP088,Delay,Medium,0.14,2023-08-23,COMP0115,54 days
RISK04158,SUPP091,Delay,Medium,0.36,2022-08-01,COMP0175,53 days
RISK04159,SUPP069,Shortage,Medium,0.28,2025-08-12,COMP0384,130 days
RISK04160,SUPP001,Shortage,Medium,0.8,2021-08-16,COMP0196,55 days
RISK04161,SUPP002,Shortage,Low,0.21,2025-08-01,COMP0155,114 days
RISK04162,SUPP042,Shortage,High,0.25,2020-04-27,COMP0116,46 days
RISK04163,SUPP040,Shortage,Low,0.24,2022-07-26,COMP0346,177 days
RISK04164,SUPP009,Shortage,Medium,0.63,2020-09-06,COMP0107,110 days
RISK04165,SUPP057,Shortage,Medium,0.34,2021-10-07,COMP0470,37 days
RISK04166,SUPP095,Shortage,Medium,0.73,2022-09-12,COMP0404,100 days
RISK04167,SUPP027,Delay,High,0.9,2022-04-24,COMP0141,41 days
RISK04168,SUPP044,Shortage,Low,0.49,2025-07-18,COMP0229,1 days
RISK04169,SUPP012,Shutdown,High,0.57,2024-06-20,COMP0207,115 days
RISK04170,SUPP063,Delay,High,0.6,2023-08-22,COMP0450,67 days
RISK04171,SUPP041,Shortage,High,0.32,2021-05-29,COMP0374,65 days
RISK04172,SUPP029,Shortage,Low,0.38,2024-12-30,COMP0110,30 days
RISK04173,SUPP030,Delay,High,0.83,2025-12-19,COMP0297,95 days
RISK04174,SUPP030,Shortage,Low,0.29,2022-09-30,COMP0417,56 days
RISK04175,SUPP029,Delay,Medium,0.91,2020-09-16,COMP0500,155 days
RISK04176,SUPP077,Shortage,Low,0.78,2022-11-07,COMP0258,178 days
RISK04177,SUPP006,Delay,Medium,0.88,2025-01-26,COMP0189,104 days
RISK04178,SUPP069,Delay,Medium,0.78,2020-07-09,COMP0221,169 days
RISK04179,SUPP082,Delay,Medium,0.69,2021-05-07,COMP0475,133 days
RISK04180,SUPP049,Shortage,Low,0.39,2021-10-03,COMP0400,135 days
RISK04181,SUPP024,Shortage,Medium,0.65,2022-08-11,COMP0382,111 days
RISK04182,SUPP050,Shutdown,Low,0.25,2024-01-19,COMP0011,161 days
RISK04183,SUPP030,Shutdown,Low,0.92,2023-06-29,COMP0439,38 days
RISK04184,SUPP100,Shortage,Low,0.83,2020-09-28,COMP0314,72 days
RISK04185,SUPP014,Delay,Medium,0.12,2023-04-17,COMP0223,49 days
RISK04186,SUPP021,Shutdown,High,0.09,2022-10-04,COMP0333,14 days
RISK04187,SUPP044,Shutdown,Low,0.19,2022-08-19,COMP0243,91 days
RISK04188,SUPP023,Shortage,Medium,0.43,2020-03-16,COMP0327,82 days
RISK04189,SUPP006,Shortage,Low,0.43,2023-11-17,COMP0236,161 days
RISK04190,SUPP018,Delay,Medium,0.39,2021-11-24,COMP0024,121 days
RISK04191,SUPP001,Delay,Low,0.68,2020-01-10,COMP0301,69 days
RISK04192,SUPP039,Shortage,Medium,0.76,2023-06-09,COMP0248,175 days
RISK04193,SUPP053,Delay,High,0.54,2020-04-19,COMP0015,40 days
RISK04194,SUPP087,Delay,Low,0.37,2023-12-17,COMP0418,35 days
RISK04195,SUPP045,Shortage,Low,0.21,2022-05-13,COMP0360,97 days
RISK04196,SUPP068,Shortage,Low,0.12,2024-09-12,COMP0163,69 days
RISK04197,SUPP063,Delay,Medium,0.19,2022-03-26,COMP0236,177 days
RISK04198,SUPP100,Shortage,Low,0.01,2025-10-28,COMP0351,8 days
RISK04199,SUPP033,Shutdown,Medium,0.9,2022-10-22,COMP0398,77 days
RISK04200,SUPP086,Shortage,Medium,0.74,2024-04-15,COMP0084,65 days
RISK04201,SUPP048,Delay,Low,0.94,2021-06-23,COMP0245,35 days
RISK04202,SUPP022,Shortage,High,0.67,2025-07-26,COMP0124,20 days
RISK04203,SUPP010,Shortage,High,0.65,2022-06-17,COMP0367,95 days
RISK04204,SUPP083,Shortage,Medium,0.84,2025-05-27,COMP0071,171 days
RISK04205,SUPP047,Shortage,Medium,0.6,2023-09-05,COMP0086,31 days
RISK04206,SUPP075,Shortage,High,0.74,2021-04-03,COMP0193,157 days
RISK04207,SUPP040,Shortage,High,0.93,2023-02-20,COMP0301,167 days
RISK04208,SUPP055,Shutdown,Low,0.14,2025-08-29,COMP0017,14 days
RISK04209,SUPP048,Shutdown,High,0.84,2022-10-27,COMP0342,82 days
RISK04210,SUPP015,Delay,High,0.91,2021-01-18,COMP0311,118 days
RISK04211,SUPP052,Shortage,High,0.21,2022-02-26,COMP0344,172 days
RISK04212,SUPP006,Delay,High,0.56,2024-04-29,COMP0222,150 days
