Component ID,Component Name,Function Type,Voltage Rating (V),Current Rating (A),Power Rating (W),Resistance / Capacitance / Inductance,Frequency Range,Signal Type,Tolerance (%),Accuracy (%),Efficiency (%),Operating Speed,Operating Temperature Range,Storage Temperature,Thermal Resistance (°C/W),Package Type,Dimensions (L x W x H mm),Weight (g),Mounting Type,Material Type,Conductivity (S/m),Durability,RoHS Compliance,ISO Certification,Industry Standards
COMP0216,Connector-4644,Signal / Power Interconnect,6.7,33.547,219.538,N/A,10 Hz – 10 MHz,Power,0.1,98.7,75.7,100 MHz,-55°C to 125°C,-55°C to 150°C,39.4,QFP-32,24.86 x 25.67 x 16.82 mm,98.7382,Press-fit,FR4 Laminate,1785505 S/m,High,Yes,None,IPC-A-610
COMP0495,Capacitor-1472,Energy Storage / Filtering,91.3,2.224,140.171,3533.8 µF,1000 Hz – 1 MHz,Power,0.5,95.75,72.5,1000 MHz,-25°C to 85°C,-65°C to 85°C,32.9,DIP-16,24.67 x 2.76 x 0.85 mm,16.9288,THT,Metal Film,2954223 S/m,Low,Yes,None,AEC-Q200
COMP0077,Crystal-5889,Frequency Reference / Timing,140.4,14.833,266.397,N/A,100 Hz – 1000 MHz,Digital,10.0,95.94,80.9,200 MHz,0°C to 85°C,-55°C to 150°C,13.8,TO-220,9.9 x 1.71 x 2.85 mm,24.265,Press-fit,Metal Oxide,3521060 S/m,Medium,Yes,IATF 16949,AEC-Q100
COMP0089,Capacitor-8962,Energy Storage / Filtering,156.6,47.878,209.55,1883.1 µF,1000 Hz – 1 MHz,RF,0.1,96.03,73.0,32 MHz,0°C to 85°C,-65°C to 150°C,18.9,LGA-16,4.46 x 26.04 x 16.34 mm,81.1268,SMT,Metal Film,2037917 S/m,Medium,Yes,None,IPC-2221
COMP0452,Capacitor-1977,Energy Storage / Filtering,288.7,26.274,498.21,3239.6 µF,1 Hz – 1000 MHz,Digital,0.5,96.81,89.0,400 MHz,-25°C to 150°C,-40°C to 125°C,98.6,QFN-48,42.96 x 7.59 x 4.83 mm,6.5842,SMT,Film,2653231 S/m,High,Yes,ISO 9001:2015,IPC-A-610
COMP0463,MOSFET-5102,Switching / Power Control,352.2,26.354,258.403,N/A,10 Hz – 10 MHz,Power,2.0,98.94,95.8,1000 MHz,-55°C to 125°C,-40°C to 105°C,38.7,QFN-32,41.42 x 21.14 x 17.05 mm,24.4524,THT,Silicon,1870757 S/m,High,Yes,None,IPC-7711
COMP0418,Connector-8843,Signal / Power Interconnect,71.5,38.094,423.541,N/A,100 Hz – 100 MHz,Analog,5.0,90.63,93.0,100 MHz,-40°C to 125°C,-55°C to 150°C,19.7,QFP-64,0.73 x 2.62 x 13.28 mm,2.3615,THT,Film,2926523 S/m,High,Yes,IATF 16949,AEC-Q100
COMP0443,Diode-5720,Rectification / ESD Protection,322.1,11.357,394.489,N/A,1000 Hz – 10 MHz,Mixed-Signal,0.1,92.27,76.5,16 MHz,-40°C to 105°C,-40°C to 105°C,104.2,DIP-8,35.94 x 29.92 x 19.5 mm,35.5884,THT,Silicon,9382148 S/m,Medium,Yes,ISO 14001:2015,AEC-Q100
COMP0042,IC-5422,Signal Processing / Logic,103.7,39.533,480.249,N/A,10 Hz – 100 MHz,Power,0.1,97.77,91.2,72 MHz,0°C to 105°C,-55°C to 150°C,23.8,SMD 1210,29.26 x 22.38 x 15.76 mm,99.032,SMT,Electrolytic Aluminum,8748786 S/m,Medium,Yes,ISO 45001:2018,AEC-Q200
COMP0414,LED-3068,Visual Indication / Illumination,295.9,41.241,402.694,N/A,10 Hz – 10 MHz,Mixed-Signal,0.5,98.06,93.1,120 MHz,-25°C to 70°C,-40°C to 150°C,36.7,BGA-324,23.66 x 0.65 x 4.2 mm,88.666,SMT,SiC,5973173 S/m,Medium,No,ISO 45001:2018,AEC-Q100
COMP0299,Diode-7275,Rectification / ESD Protection,546.4,4.15,432.408,N/A,1 Hz – 1 MHz,Mixed-Signal,0.5,90.58,95.3,32 MHz,-40°C to 85°C,-55°C to 105°C,49.7,SMD 0603,12.0 x 25.88 x 8.94 mm,92.3357,SMT,SiC,9579397 S/m,Medium,Yes,ISO 14001:2015,IPC-A-610
COMP0356,IC-7071,Signal Processing / Logic,18.8,38.771,357.168,N/A,100 Hz – 1 MHz,Power,10.0,94.97,92.7,1000 MHz,0°C to 85°C,-55°C to 85°C,26.3,SMD 1210,4.95 x 23.34 x 13.03 mm,66.8316,SMT,SiC,8074698 S/m,Medium,Yes,IATF 16949,UL 94V-0
COMP0189,Capacitor-7939,Energy Storage / Filtering,494.2,45.986,311.233,4060.0 µF,10 Hz – 100 MHz,Mixed-Signal,0.5,95.89,86.6,400 MHz,-25°C to 150°C,-40°C to 105°C,50.9,SOT-23,0.64 x 20.18 x 6.05 mm,38.2953,SMT,Film,295097 S/m,High,Yes,None,IPC-7711
COMP0182,LED-3546,Visual Indication / Illumination,201.3,41.862,350.334,N/A,1 Hz – 100 MHz,Power,2.0,97.83,90.9,72 MHz,-55°C to 85°C,-65°C to 125°C,106.0,DIP-28,1.72 x 27.65 x 14.97 mm,52.2165,THT,Film,8410055 S/m,Low,Yes,ISO 9001:2015,IEC 61000-4
COMP0379,Transistor-5526,Switching / Amplification,433.0,1.523,200.65,N/A,100 Hz – 1000 MHz,RF,0.5,94.49,92.1,48 MHz,-40°C to 150°C,-65°C to 85°C,19.2,SMD 0805,1.84 x 12.61 x 3.83 mm,92.3916,SMT,Metal Film,90709 S/m,High,Yes,ISO 45001:2018,IPC-7711
COMP0285,Connector-9270,Signal / Power Interconnect,472.1,19.079,428.332,N/A,1 Hz – 10 MHz,Power,1.0,94.02,88.5,72 MHz,-40°C to 175°C,-55°C to 105°C,11.9,SMD 0603,49.79 x 4.67 x 13.14 mm,57.2799,SMT,SiC,1922646 S/m,Medium,Yes,IATF 16949,AEC-Q200
COMP0356,IC-7071,Signal Processing / Logic,37.3,21.197,328.815,N/A,1 Hz – 10 MHz,Power,0.5,94.91,84.7,8 MHz,0°C to 150°C,-40°C to 85°C,98.5,TO-247,35.42 x 5.75 x 13.09 mm,42.0029,Press-fit,Film,7309143 S/m,High,Yes,IATF 16949,MIL-STD-810
COMP0144,Inductor-4111,Energy Storage / EMI Filtering,370.5,33.034,298.321,211.0 µH,1 Hz – 10 MHz,RF,2.0,91.06,88.8,120 MHz,-25°C to 125°C,-40°C to 85°C,41.7,BGA-256,11.31 x 7.11 x 8.41 mm,46.7419,Press-fit,Electrolytic Aluminum,7966007 S/m,Medium,Yes,ISO 14001:2015,UL 94V-0
COMP0031,Transistor-2307,Switching / Amplification,357.0,37.431,431.287,N/A,100 Hz – 1 MHz,Power,5.0,90.24,94.5,16 MHz,-55°C to 125°C,-40°C to 85°C,93.5,SMD 0805,6.68 x 10.61 x 4.43 mm,2.2881,SMT,SiC,7002805 S/m,Low,Yes,ISO 9001:2015,AEC-Q200
COMP0155,Crystal-4853,Frequency Reference / Timing,463.0,43.903,345.239,N/A,100 Hz – 10 MHz,RF,1.0,90.51,74.4,100 MHz,-40°C to 150°C,-40°C to 150°C,71.0,SOT-23,29.79 x 28.75 x 18.46 mm,22.292,SMT,Metal Film,9557486 S/m,High,Yes,IATF 16949,JEDEC JESD22
COMP0467,MOSFET-1659,Switching / Power Control,420.8,9.311,340.665,N/A,1 Hz – 10 MHz,Digital,2.0,97.4,72.6,8 MHz,-55°C to 70°C,-55°C to 85°C,103.4,QFN-48,36.11 x 8.28 x 2.94 mm,65.6508,SMT,GaN,432070 S/m,High,Yes,IATF 16949,IPC-7711
COMP0334,LED-9837,Visual Indication / Illumination,262.6,35.469,216.103,N/A,100 Hz – 100 MHz,Digital,0.5,99.69,96.9,8 MHz,-40°C to 150°C,-55°C to 85°C,45.2,TSSOP-20,36.22 x 27.77 x 0.21 mm,93.5608,Press-fit,Electrolytic Aluminum,8862278 S/m,Medium,Yes,IATF 16949,AEC-Q100
COMP0339,Diode-1333,Rectification / ESD Protection,488.8,48.475,258.244,N/A,10 Hz – 1 MHz,RF,0.1,99.92,84.0,32 MHz,0°C to 175°C,-65°C to 125°C,33.7,SMD 0603,30.01 x 1.84 x 12.22 mm,38.493,SMT,Film,8182319 S/m,High,Yes,ISO 45001:2018,IPC-7711
COMP0130,Connector-5092,Signal / Power Interconnect,440.6,6.265,438.616,N/A,1000 Hz – 10 MHz,Digital,5.0,94.46,80.5,72 MHz,-40°C to 85°C,-40°C to 150°C,72.5,SOT-363,8.38 x 10.83 x 4.72 mm,51.7632,SMT,Electrolytic Aluminum,2883444 S/m,High,No,ISO 9001:2015,IPC-A-610
COMP0288,LED-8777,Visual Indication / Illumination,187.7,42.192,205.247,N/A,10 Hz – 1000 MHz,Digital,2.0,91.81,91.2,200 MHz,-40°C to 150°C,-55°C to 125°C,24.6,BGA-256,13.13 x 22.85 x 16.88 mm,89.2034,SMT,FR4 Laminate,4126226 S/m,High,Yes,ISO 14001:2015,AEC-Q200
COMP0144,Inductor-4111,Energy Storage / EMI Filtering,338.5,7.156,208.226,482.5 µH,100 Hz – 1000 MHz,Digital,1.0,93.16,78.9,120 MHz,0°C to 125°C,-65°C to 150°C,51.0,TSSOP-20,6.57 x 5.51 x 9.0 mm,28.991,SMT,Silicon,2394403 S/m,High,Yes,ISO 45001:2018,AEC-Q200
COMP0077,Crystal-5889,Frequency Reference / Timing,207.3,21.063,387.357,N/A,100 Hz – 1000 MHz,Analog,1.0,90.98,78.9,200 MHz,-25°C to 105°C,-65°C to 85°C,143.6,SMD 1210,47.74 x 14.57 x 8.32 mm,26.6402,SMT,FR4 Laminate,4797154 S/m,Medium,Yes,ISO 45001:2018,AEC-Q200
COMP0240,Capacitor-6409,Energy Storage / Filtering,198.5,44.927,234.926,2441.4 µF,1 Hz – 100 MHz,RF,5.0,90.23,79.5,16 MHz,0°C to 150°C,-55°C to 150°C,123.0,QFN-32,11.52 x 18.75 x 16.18 mm,27.3526,SMT,GaN,2541948 S/m,Medium,Yes,ISO 14001:2015,UL 94V-0
COMP0458,Transistor-9199,Switching / Amplification,426.3,27.02,205.165,N/A,100 Hz – 10 MHz,RF,0.5,90.24,90.0,1 MHz,-40°C to 105°C,-40°C to 150°C,74.9,QFP-32,7.55 x 5.42 x 2.41 mm,5.8861,THT,FR4 Laminate,7992476 S/m,High,Yes,ISO 9001:2015,AEC-Q100
COMP0214,LED-2771,Visual Indication / Illumination,182.7,13.323,483.503,N/A,1000 Hz – 10 MHz,Power,0.1,94.77,70.2,8 MHz,0°C to 150°C,-55°C to 85°C,39.3,SOT-363,2.44 x 21.04 x 7.73 mm,98.4174,Press-fit,FR4 Laminate,874904 S/m,High,Yes,ISO 45001:2018,AEC-Q100
COMP0358,Crystal-6590,Frequency Reference / Timing,442.3,46.986,336.763,N/A,1000 Hz – 10 MHz,RF,10.0,91.63,93.9,72 MHz,-40°C to 105°C,-40°C to 150°C,125.4,QFP-64,0.63 x 18.46 x 9.12 mm,66.999,SMT,GaN,7549464 S/m,High,Yes,ISO 9001:2015,AEC-Q200
COMP0492,Transistor-9998,Switching / Amplification,318.6,39.845,488.809,N/A,1000 Hz – 10 MHz,RF,1.0,99.06,73.6,100 MHz,-55°C to 175°C,-65°C to 150°C,82.4,LGA-16,42.19 x 14.6 x 7.06 mm,21.1404,SMT,Metal Oxide,6074679 S/m,High,Yes,ISO 14001:2015,JEDEC JESD22
COMP0436,Transistor-2330,Switching / Amplification,127.3,5.256,323.568,N/A,10 Hz – 1 MHz,Power,5.0,96.5,83.0,120 MHz,-40°C to 125°C,-55°C to 105°C,16.8,QFP-32,40.28 x 0.39 x 15.29 mm,29.2848,THT,Ceramic,6162255 S/m,Medium,Yes,ISO 9001:2015,UL 94V-0
COMP0127,Sensor-8350,Signal Acquisition / Measurement,454.3,9.448,484.997,N/A,1000 Hz – 1 MHz,Mixed-Signal,5.0,92.23,86.6,120 MHz,-55°C to 175°C,-65°C to 105°C,30.8,QFP-32,14.45 x 25.94 x 6.6 mm,38.5688,SMT,Silicon,7897875 S/m,High,Yes,ISO 9001:2015,AEC-Q100
COMP0170,Diode-9288,Rectification / ESD Protection,260.2,23.135,310.518,N/A,1 Hz – 10 MHz,Digital,0.5,97.5,93.6,120 MHz,-25°C to 70°C,-40°C to 85°C,95.6,SMD 1206,16.61 x 10.76 x 13.05 mm,15.3445,Press-fit,Film,4314272 S/m,Medium,Yes,ISO 45001:2018,IEC 61000-4
COMP0420,Inductor-1841,Energy Storage / EMI Filtering,55.3,35.579,292.84,131.0 µH,100 Hz – 1000 MHz,RF,10.0,95.94,96.1,1 MHz,-55°C to 85°C,-55°C to 85°C,50.1,SMD 1206,45.9 x 25.09 x 11.95 mm,67.6115,SMT,Carbon Composition,2102506 S/m,Low,Yes,ISO 9001:2015,IPC-2221
COMP0302,Capacitor-7797,Energy Storage / Filtering,8.8,31.564,182.522,1308.3 µF,10 Hz – 100 MHz,Analog,0.1,91.3,89.0,400 MHz,-25°C to 85°C,-55°C to 125°C,130.5,SOT-23,0.77 x 8.73 x 15.01 mm,4.5229,Press-fit,Film,6999417 S/m,Medium,Yes,IATF 16949,IPC-7711
COMP0115,Diode-8749,Rectification / ESD Protection,188.9,0.407,37.392,N/A,1000 Hz – 1 MHz,RF,10.0,96.17,73.2,100 MHz,0°C to 175°C,-55°C to 150°C,3.1,BGA-144,1.2 x 22.34 x 12.98 mm,9.518,SMT,GaN,4427129 S/m,High,Yes,ISO 9001:2015,IPC-7711
COMP0019,Microcontroller-2674,Processing / Control,256.5,14.259,463.577,N/A,10 Hz – 1 MHz,RF,5.0,99.05,75.7,200 MHz,-55°C to 125°C,-55°C to 85°C,9.2,TO-92,44.47 x 12.89 x 3.88 mm,50.3744,SMT,GaN,7221296 S/m,Low,Yes,IATF 16949,AEC-Q200
COMP0487,Resistor-4073,Current Limiting / Voltage Division,595.9,48.011,438.156,220 Ω,1 Hz – 1 MHz,Power,10.0,93.92,79.6,1000 MHz,0°C to 85°C,-40°C to 85°C,73.9,DIP-8,45.99 x 18.45 x 10.28 mm,73.6067,THT,Carbon Composition,8128687 S/m,Low,Yes,ISO 9001:2015,AEC-Q200
COMP0291,Sensor-8939,Signal Acquisition / Measurement,341.6,25.109,316.214,N/A,10 Hz – 100 MHz,Analog,5.0,91.08,82.2,16 MHz,0°C to 105°C,-65°C to 150°C,62.1,SMD 0603,23.93 x 0.46 x 14.61 mm,94.8466,THT,Ceramic,2746968 S/m,Medium,No,ISO 45001:2018,JEDEC JESD22
COMP0057,Microcontroller-4593,Processing / Control,219.7,35.798,320.917,N/A,1000 Hz – 100 MHz,Digital,10.0,92.78,86.6,400 MHz,-55°C to 70°C,-65°C to 105°C,96.5,BGA-144,32.07 x 7.53 x 4.9 mm,90.276,SMT,Carbon Composition,7273970 S/m,Low,Yes,IATF 16949,IPC-2221
COMP0084,Connector-1319,Signal / Power Interconnect,566.7,26.056,240.659,N/A,1000 Hz – 1 MHz,RF,0.1,97.47,81.5,16 MHz,-55°C to 175°C,-55°C to 125°C,49.9,QFN-32,9.47 x 16.65 x 17.35 mm,55.7388,THT,SiC,2031848 S/m,Medium,Yes,IATF 16949,AEC-Q200
COMP0196,Capacitor-2232,Energy Storage / Filtering,232.3,48.252,483.117,3129.9 µF,10 Hz – 10 MHz,Power,10.0,91.22,79.5,120 MHz,0°C to 70°C,-65°C to 105°C,144.8,QFN-16,29.34 x 14.94 x 3.48 mm,50.8693,SMT,Carbon Composition,8106595 S/m,Low,No,IATF 16949,UL 94V-0
COMP0057,Microcontroller-4593,Processing / Control,201.5,11.653,498.413,N/A,10 Hz – 1 MHz,Analog,5.0,93.37,90.1,1000 MHz,0°C to 125°C,-55°C to 150°C,18.5,LGA-64,28.99 x 13.48 x 3.69 mm,79.0018,Press-fit,Carbon Composition,8483195 S/m,High,Yes,IATF 16949,AEC-Q200
COMP0047,IC-5386,Signal Processing / Logic,19.8,39.564,255.483,N/A,100 Hz – 1 MHz,Power,0.1,97.95,86.4,16 MHz,0°C to 70°C,-55°C to 125°C,133.0,SOIC-16,14.28 x 5.28 x 11.5 mm,32.8199,Press-fit,Metal Oxide,485778 S/m,Medium,Yes,IATF 16949,IPC-A-610
COMP0303,IC-6421,Signal Processing / Logic,42.1,6.173,166.655,N/A,100 Hz – 100 MHz,Mixed-Signal,2.0,95.55,85.1,100 MHz,0°C to 150°C,-65°C to 150°C,130.1,TSSOP-20,40.03 x 19.46 x 8.32 mm,60.9398,Press-fit,Electrolytic Aluminum,4138648 S/m,Low,Yes,None,IPC-2221
COMP0087,Resistor-4946,Current Limiting / Voltage Division,15.7,14.847,146.908,1000000 Ω,100 Hz – 1000 MHz,Power,0.1,91.92,81.2,1 MHz,0°C to 175°C,-65°C to 85°C,15.6,DIP-28,21.48 x 9.94 x 13.13 mm,88.296,Press-fit,GaN,2902389 S/m,High,Yes,ISO 14001:2015,IPC-A-610
COMP0380,Sensor-1166,Signal Acquisition / Measurement,567.6,48.481,447.37,N/A,100 Hz – 1 MHz,Power,2.0,94.52,73.5,32 MHz,-25°C to 85°C,-55°C to 85°C,124.2,SOT-23,25.18 x 4.64 x 11.3 mm,98.7254,THT,Electrolytic Aluminum,4046671 S/m,High,Yes,IATF 16949,UL 94V-0
COMP0070,Transistor-6573,Switching / Amplification,270.8,42.942,488.506,N/A,100 Hz – 10 MHz,Mixed-Signal,2.0,91.5,72.8,72 MHz,-25°C to 85°C,-65°C to 105°C,52.6,SMD 0805,21.59 x 8.98 x 19.95 mm,65.6528,SMT,Metal Oxide,9778349 S/m,Medium,Yes,ISO 14001:2015,IEC 61000-4
COMP0212,IC-5065,Signal Processing / Logic,277.3,7.843,287.629,N/A,100 Hz – 100 MHz,RF,10.0,92.58,88.2,200 MHz,-40°C to 70°C,-65°C to 105°C,113.4,DIP-8,13.67 x 15.41 x 0.12 mm,47.9676,THT,Film,8272934 S/m,High,Yes,IATF 16949,IEC 61000-4
COMP0402,Diode-4545,Rectification / ESD Protection,598.9,14.544,493.143,N/A,1 Hz – 1000 MHz,Analog,10.0,95.25,75.2,72 MHz,0°C to 70°C,-40°C to 85°C,99.0,SOT-223,0.96 x 12.92 x 0.39 mm,35.9139,THT,Film,1096176 S/m,High,Yes,IATF 16949,JEDEC JESD22
COMP0021,Capacitor-6881,Energy Storage / Filtering,116.6,6.896,257.297,3961.3 µF,100 Hz – 1 MHz,RF,5.0,97.01,98.8,16 MHz,0°C to 175°C,-40°C to 125°C,134.3,SMD 0402,39.62 x 6.1 x 3.64 mm,15.5017,SMT,Electrolytic Aluminum,2423361 S/m,High,Yes,None,UL 94V-0
COMP0064,IC-7252,Signal Processing / Logic,28.1,12.628,303.961,N/A,100 Hz – 1000 MHz,Digital,0.5,99.0,82.6,32 MHz,-25°C to 125°C,-65°C to 125°C,74.9,SMD 1210,26.02 x 13.74 x 3.35 mm,78.6856,SMT,Electrolytic Aluminum,5768597 S/m,Medium,Yes,ISO 14001:2015,IPC-7711
COMP0183,Transistor-5616,Switching / Amplification,259.5,9.52,294.227,N/A,1 Hz – 1 MHz,Digital,5.0,90.18,90.5,1000 MHz,-25°C to 125°C,-65°C to 150°C,149.1,SMD 1210,43.96 x 2.97 x 11.89 mm,58.8605,SMT,Ceramic,2498838 S/m,High,Yes,ISO 45001:2018,UL 94V-0
COMP0139,Inductor-7209,Energy Storage / EMI Filtering,370.3,5.417,447.444,435.8 µH,10 Hz – 1000 MHz,Power,0.5,99.7,70.2,400 MHz,0°C to 125°C,-40°C to 105°C,46.3,LGA-16,17.25 x 21.33 x 2.49 mm,42.1088,THT,Electrolytic Aluminum,8365891 S/m,High,Yes,ISO 14001:2015,AEC-Q200
COMP0165,Crystal-5915,Frequency Reference / Timing,537.6,26.607,453.193,N/A,10 Hz – 1000 MHz,Mixed-Signal,1.0,97.19,97.4,32 MHz,-25°C to 70°C,-55°C to 105°C,144.1,DIP-16,38.07 x 20.56 x 8.06 mm,98.3048,Press-fit,Carbon Composition,1657625 S/m,Medium,Yes,IATF 16949,UL 94V-0
COMP0142,Transistor-7930,Switching / Amplification,529.7,26.608,249.794,N/A,100 Hz – 100 MHz,Power,0.1,96.82,77.1,48 MHz,0°C to 70°C,-40°C to 85°C,51.2,QFP-100,27.95 x 5.39 x 19.09 mm,18.6956,SMT,Electrolytic Aluminum,7021241 S/m,Medium,Yes,IATF 16949,IPC-A-610
COMP0359,Resistor-7882,Current Limiting / Voltage Division,58.2,3.161,108.565,220 Ω,1000 Hz – 1 MHz,Power,1.0,98.04,84.5,8 MHz,0°C to 70°C,-65°C to 85°C,27.6,SOT-363,1.13 x 1.43 x 2.57 mm,99.9966,SMT,Silicon,2357763 S/m,High,Yes,None,IPC-A-610
COMP0420,Inductor-1841,Energy Storage / EMI Filtering,107.9,34.418,264.828,79.7 µH,1 Hz – 1 MHz,Digital,10.0,94.5,72.0,1000 MHz,-25°C to 150°C,-55°C to 105°C,137.2,TO-92,19.82 x 0.92 x 6.2 mm,80.4626,SMT,GaN,921555 S/m,Medium,Yes,ISO 9001:2015,IPC-2221
COMP0287,Connector-3607,Signal / Power Interconnect,218.3,47.423,492.356,N/A,1000 Hz – 100 MHz,Digital,0.1,96.71,88.0,120 MHz,-55°C to 175°C,-40°C to 150°C,97.0,BGA-324,41.23 x 7.6 x 16.64 mm,85.0048,SMT,Carbon Composition,6591960 S/m,Medium,Yes,ISO 45001:2018,IPC-A-610
COMP0036,Microcontroller-4432,Processing / Control,2.5,25.796,62.894,N/A,1000 Hz – 100 MHz,Analog,0.5,97.75,93.5,100 MHz,0°C to 175°C,-40°C to 105°C,102.9,DIP-16,14.53 x 2.68 x 3.62 mm,91.3705,SMT,Silicon,2592411 S/m,High,Yes,IATF 16949,IPC-7711
COMP0481,Connector-2442,Signal / Power Interconnect,281.1,33.124,408.762,N/A,100 Hz – 10 MHz,Power,2.0,94.65,84.1,16 MHz,-25°C to 105°C,-65°C to 125°C,33.6,BGA-256,30.47 x 28.66 x 17.21 mm,35.7851,SMT,Metal Oxide,4583735 S/m,High,Yes,None,IPC-A-610
COMP0093,Sensor-3705,Signal Acquisition / Measurement,72.1,39.485,281.868,N/A,10 Hz – 100 MHz,Analog,5.0,91.72,94.7,32 MHz,-55°C to 175°C,-65°C to 150°C,51.0,QFN-32,12.21 x 21.28 x 14.13 mm,42.6575,SMT,Film,4223011 S/m,High,No,None,IPC-7711
COMP0193,Inductor-8239,Energy Storage / EMI Filtering,19.7,13.209,140.548,854.5 µH,10 Hz – 100 MHz,Power,10.0,93.39,72.3,400 MHz,-40°C to 105°C,-65°C to 125°C,27.4,TSSOP-20,21.01 x 18.08 x 9.54 mm,8.7029,Press-fit,Electrolytic Aluminum,7783797 S/m,Medium,Yes,ISO 9001:2015,IPC-A-610
COMP0131,Capacitor-8260,Energy Storage / Filtering,467.5,24.563,213.559,1417.8 µF,1 Hz – 10 MHz,Power,0.5,94.19,93.3,72 MHz,-25°C to 70°C,-55°C to 85°C,40.7,SMD 0201,34.32 x 29.78 x 1.91 mm,37.0224,SMT,FR4 Laminate,3545402 S/m,Medium,Yes,IATF 16949,IEC 61000-4
COMP0326,Inductor-1823,Energy Storage / EMI Filtering,317.1,8.834,377.545,859.2 µH,1 Hz – 10 MHz,Power,0.1,94.27,85.0,120 MHz,-25°C to 85°C,-55°C to 125°C,110.8,SMD 1210,24.32 x 25.87 x 19.56 mm,65.2659,SMT,GaN,2032612 S/m,Low,Yes,ISO 45001:2018,IPC-A-610
COMP0009,Diode-9279,Rectification / ESD Protection,284.1,27.744,254.935,N/A,1 Hz – 100 MHz,Analog,1.0,96.7,82.5,1 MHz,-25°C to 85°C,-40°C to 105°C,71.6,SOIC-16,17.21 x 18.16 x 4.08 mm,16.0215,SMT,Film,9097483 S/m,High,No,None,IPC-A-610
COMP0217,Diode-8541,Rectification / ESD Protection,421.7,42.346,342.051,N/A,10 Hz – 1 MHz,Power,1.0,91.7,96.7,1 MHz,-55°C to 85°C,-55°C to 105°C,57.4,QFN-32,41.31 x 24.95 x 3.73 mm,75.8358,Press-fit,Silicon,4830334 S/m,High,Yes,ISO 45001:2018,JEDEC JESD22
COMP0381,Sensor-4130,Signal Acquisition / Measurement,378.6,49.144,491.398,N/A,1000 Hz – 1000 MHz,Digital,10.0,94.67,91.7,16 MHz,0°C to 70°C,-65°C to 85°C,118.6,SOIC-28,11.4 x 8.39 x 5.78 mm,20.7232,THT,Ceramic,7479780 S/m,Medium,No,ISO 45001:2018,IEC 61000-4
COMP0371,Capacitor-5569,Energy Storage / Filtering,316.4,5.777,456.338,1467.2 µF,1 Hz – 10 MHz,Analog,2.0,92.04,77.3,200 MHz,-40°C to 150°C,-65°C to 85°C,117.5,SOT-223,27.48 x 25.48 x 10.39 mm,89.164,SMT,Metal Oxide,6655333 S/m,Medium,Yes,None,MIL-STD-810
COMP0267,Inductor-1400,Energy Storage / EMI Filtering,324.8,39.067,405.007,510.6 µH,1000 Hz – 100 MHz,Mixed-Signal,5.0,97.84,72.6,120 MHz,-40°C to 175°C,-65°C to 85°C,35.3,SMD 0603,24.35 x 19.32 x 9.06 mm,45.8866,SMT,Metal Film,9040004 S/m,High,Yes,None,IEC 61000-4
COMP0399,Microcontroller-2958,Processing / Control,567.6,1.149,414.059,N/A,100 Hz – 1000 MHz,Digital,1.0,99.92,87.7,1000 MHz,-40°C to 70°C,-55°C to 150°C,128.4,SMD 0805,9.11 x 17.22 x 6.57 mm,17.0196,SMT,FR4 Laminate,6613317 S/m,High,Yes,ISO 14001:2015,IPC-7711
COMP0157,MOSFET-5033,Switching / Power Control,193.3,22.735,476.667,N/A,1000 Hz – 1000 MHz,Mixed-Signal,0.1,92.72,76.7,120 MHz,0°C to 85°C,-40°C to 85°C,139.3,SOIC-28,19.53 x 14.89 x 19.32 mm,7.4557,SMT,Metal Oxide,5893217 S/m,High,Yes,ISO 14001:2015,UL 94V-0
COMP0062,Crystal-7916,Frequency Reference / Timing,223.2,29.658,249.089,N/A,10 Hz – 1000 MHz,Power,1.0,99.29,90.6,200 MHz,-25°C to 85°C,-40°C to 85°C,101.8,QFP-100,37.36 x 8.57 x 17.07 mm,9.3705,THT,Electrolytic Aluminum,2331514 S/m,High,Yes,IATF 16949,UL 94V-0
COMP0017,Microcontroller-5552,Processing / Control,94.1,38.185,372.424,N/A,1000 Hz – 10 MHz,Digital,1.0,93.28,84.1,1000 MHz,0°C to 150°C,-65°C to 105°C,1.8,LGA-16,5.64 x 26.09 x 18.92 mm,62.1375,SMT,GaN,609683 S/m,Medium,Yes,ISO 45001:2018,MIL-STD-810
COMP0254,Resistor-5978,Current Limiting / Voltage Division,172.1,13.956,459.726,10 Ω,100 Hz – 1 MHz,Analog,1.0,94.27,73.4,48 MHz,-25°C to 150°C,-65°C to 150°C,146.1,SOIC-16,48.48 x 6.94 x 18.49 mm,81.3995,THT,Ceramic,3881596 S/m,Medium,Yes,ISO 14001:2015,IPC-2221
COMP0330,Microcontroller-7211,Processing / Control,581.6,27.395,201.509,N/A,100 Hz – 1000 MHz,RF,2.0,91.11,90.2,72 MHz,0°C to 105°C,-65°C to 150°C,35.5,SOIC-8,21.95 x 9.88 x 17.55 mm,26.9966,SMT,Carbon Composition,6312863 S/m,Low,Yes,ISO 9001:2015,IEC 61000-4
COMP0037,Crystal-5374,Frequency Reference / Timing,422.7,23.149,402.473,N/A,1000 Hz – 10 MHz,RF,2.0,90.04,71.9,16 MHz,-55°C to 175°C,-65°C to 85°C,101.0,SOIC-16,34.1 x 26.49 x 3.56 mm,31.1451,SMT,FR4 Laminate,2245386 S/m,High,Yes,IATF 16949,AEC-Q100
